episode,season,month,doy,mae,rmse,violations_pct,within_1c_pct,energy_kwh,reward,mean_slew,peak_power_w
0,Winter,12,353,0.5613652077012242,0.6558262231888685,56.94444444444444,90.97222222222223,51.09258568286896,-168.96112232096493,0.12012020677639633,2999.8615980148315
1,Spring,5,129,0.11449244548880275,0.1256058281116794,0.3472222222222222,100.0,8.01754067838192,-33.44034201093018,0.007893942997430676,2443.8668489456177
2,Summer,8,229,0.18271144894945135,0.2156589530186433,0.0,100.0,9.84709483385086,-53.1059385528788,0.006798081074026819,1175.5399703979492
3,Fall,10,289,0.08044787269045918,0.10255937824139452,0.3472222222222222,100.0,8.62074787914753,-23.675835598725826,0.008656270620299548,2570.094108581543
4,Winter,12,346,0.4702195513225895,0.6658188738656993,29.51388888888889,88.54166666666667,50.14990642666817,-142.254378516227,0.12198322388353249,3000.0
5,Spring,3,76,0.04126943601557907,0.05721967770696726,0.0,100.0,11.46709880232811,-12.425596651970409,0.00518305584113357,1009.0863704681396
6,Summer,8,242,0.03548643677336104,0.05847220184496416,0.3472222222222222,100.0,10.05558979511261,-10.815351190860383,0.01101460793292481,2715.000092983246
7,Fall,9,246,0.14581374684841444,0.16731065521633898,0.3472222222222222,100.0,15.656134948134422,-42.847878724336624,0.011608059813336628,1824.7883319854736
8,Winter,1,8,0.0930948340507447,0.10648394104396855,0.0,100.0,42.757859602570534,-29.917116753757,0.010022771483099003,2194.0205097198486
9,Spring,3,77,0.24488177015184803,0.25462880154421275,0.6944444444444444,100.0,30.094048157334328,-72.97631919477135,0.009699792396731494,1632.2078704833984
10,Summer,8,229,0.09117277111665047,0.09796702891933691,0.0,100.0,7.7992836982011795,-26.707711538299918,0.009237063263351494,1028.277039527893
11,Fall,10,285,0.08159876980884541,0.11419295897841511,0.6944444444444444,100.0,14.526767373085022,-24.46626494755037,0.01588261127471924,2441.6449069976807
12,Winter,12,344,0.20490087486100064,0.2675436591673013,9.027777777777777,100.0,54.14607383310795,-63.88873528409749,0.043556529678118766,2999.9853372573853
13,Spring,3,82,0.17967514992069908,0.21514549333772137,0.6944444444444444,100.0,28.73642762005329,-53.874096722342074,0.013011944210903155,1890.8482789993286
14,Summer,7,185,0.12537001730637706,0.15745050482087372,0.3472222222222222,100.0,5.57315818965435,-36.400004910770804,0.004999169281550816,747.9064464569092
15,Fall,10,291,0.14034714049270042,0.16324780643333753,0.3472222222222222,100.0,13.256037816405296,-41.12432251870632,0.00983248708140144,1898.4593152999878
16,Winter,1,26,0.1347223458789076,0.17092409596975522,0.3472222222222222,100.0,44.32653392851353,-41.8292590258643,0.007465776873797905,2474.8165011405945
17,Spring,3,69,0.09872794927544726,0.13629698301335255,0.3472222222222222,99.65277777777777,20.267027020454407,-29.503247443237342,0.009653641994821901,2957.9601287841797
18,Summer,7,193,0.0571099419113266,0.07807433208155863,0.0,100.0,7.505584254860878,-17.01377176970709,0.01843666926493628,868.0458068847656
19,Fall,9,261,0.044490470591705716,0.051753520621073135,0.0,100.0,6.425449699163437,-13.147087508696131,0.00474172124463922,638.7784481048584
20,Winter,1,5,2.7508091604312366,3.457425198829312,83.68055555555556,22.222222222222214,71.69645497202873,-799.6668397989124,0.00045746710242294684,3000.0
21,Spring,4,120,0.07902358432358418,0.10723815845439044,0.3472222222222222,99.65277777777777,10.435270577669144,-23.288341374835,0.007267452906233093,1798.8917827606201
22,Summer,7,199,0.16411885002293622,0.1732966995418712,0.0,100.0,10.632311150431633,-47.8816631231457,0.011395530833599874,2714.5203351974487
23,Fall,10,282,0.12366299825402313,0.1500441550880716,0.0,100.0,24.97276522219181,-36.846780931111425,0.008028210247850585,2839.3932580947876
