episode,season,month,doy,mae,rmse,violations_pct,within_1c_pct,energy_kwh,reward,mean_slew,peak_power_w
0,Winter,12,353,0.3487508285462335,0.5508968254652936,16.319444444444446,91.66666666666667,53.24575521051884,-106.41145742684603,0.038121979411055405,2900.5274176597595
1,Spring,3,73,0.06690920092958055,0.10563387720101314,0.0,100.0,19.163095086812973,-20.25662124948576,0.009991304591973069,2983.3951592445374
2,Summer,6,153,0.1158218290254884,0.14330855160863518,1.0416666666666665,100.0,8.843513324856758,-33.96917077712715,0.015331673289840645,2943.7315464019775
3,Fall,9,257,0.04976937247659517,0.060279884444717595,0.0,100.0,12.133211463689804,-14.873210948193446,0.0037494420174522267,728.4724116325378
4,Winter,1,20,0.17779310195937967,0.24028843539250724,4.166666666666666,99.65277777777777,43.442607536911964,-54.539730489254,0.008082212471380466,2417.204260826111
5,Spring,4,107,0.22746932499974098,0.26531662812052687,1.3888888888888888,99.65277777777777,39.696188390254974,-68.19344579614699,0.011797272577518371,2875.43123960495
6,Summer,8,234,0.047719357210914276,0.08375921076117537,0.3472222222222222,99.65277777777777,4.5110103487968445,-14.075380089110695,0.007477234257222884,2944.5760846138
7,Fall,10,289,0.1057597936582447,0.1220937515097985,0.0,100.0,14.163670673966408,-31.29189424100332,0.010513615732824345,1008.319079875946
8,Winter,1,18,0.09692578925364972,0.1911141213813296,0.6944444444444444,99.30555555555556,26.02784152328968,-29.45798089611344,0.005448160686559378,3000.0
9,Spring,3,78,0.26432677551492945,0.28460868360838043,0.6944444444444444,100.0,34.30234296619892,-79.11402317509055,0.00917517204317897,2920.3076362609863
10,Summer,7,202,0.06689119262089073,0.08540331380063393,0.0,100.0,8.777050152420998,-19.755519362865016,0.008602176393781389,1902.510166168213
11,Fall,10,300,0.06397188466443286,0.0872857468067987,0.0,100.0,22.983996227383614,-19.77444546134211,0.019686271504658025,1582.3690295219421
12,Winter,1,15,0.13969809389361176,0.16949783709724214,0.0,100.0,44.38157354295254,-43.23709196038544,0.004240264668281901,2190.370559692383
13,Spring,5,121,0.09988375386739769,0.11149208131743757,0.0,100.0,22.94526495039463,-29.80063107330352,0.0035323861999378803,1463.7356400489807
14,Summer,7,212,0.044109996392359414,0.0573855796866912,0.0,100.0,8.672094479203224,-13.225209465483204,0.011231602484340866,1375.6531476974487
15,Fall,10,300,0.1212690056270817,0.18845059804703473,4.513888888888888,99.65277777777777,18.18816849589348,-36.17470486997627,0.02849338445098558,1707.415223121643
16,Winter,1,14,0.2568112090794628,0.4777744615911283,13.194444444444445,90.27777777777777,46.08210341632366,-77.51455746591091,0.014797044340326396,2999.945819377899
17,Spring,3,80,0.21053626046630405,0.22208356883176572,0.3472222222222222,99.65277777777777,34.011484548449516,-63.47545509040356,0.008117983980876644,1931.0953617095947
18,Summer,6,162,0.09263279447996808,0.12335753249719021,0.3472222222222222,99.65277777777777,10.935811415314674,-27.24068382428959,0.009024645393318416,1540.3609871864319
19,Fall,10,277,0.04691874946018136,0.07342367116675161,0.3472222222222222,100.0,9.946020811796188,-14.114317636936903,0.012049517149709242,2206.457018852234
20,Winter,12,355,0.33085060269293476,0.43177838886405223,16.666666666666664,95.48611111111111,35.28280812501907,-98.21719971392304,0.0647146953107588,2917.59717464447
21,Spring,3,68,0.1375169055568952,0.15277015719552778,0.0,100.0,22.301358848810196,-40.93880067951977,0.005259875428801214,1292.6421761512756
22,Summer,6,155,0.08160967759061304,0.10293218797146426,0.3472222222222222,100.0,15.014481827616692,-24.326825186610222,0.008723726255968473,1504.9835443496704
23,Fall,11,319,0.06192900468280085,0.08791216979932905,0.3472222222222222,100.0,10.380255594849586,-18.4695642873412,0.008704192131653896,2475.3777980804443
24,Winter,1,2,0.3109828182415016,0.3507041435939103,2.083333333333333,99.65277777777777,53.22102002799511,-93.33286665938795,0.015477903005553455,3000.0
25,Spring,5,130,0.09566179463053766,0.15742496187148433,0.6944444444444444,99.65277777777777,18.946506202220917,-28.495110847055912,0.0063934872374717365,2966.7600989341736
