episode,season,month,doy,mae,rmse,violations_pct,within_1c_pct,energy_kwh,reward,mean_slew,peak_power_w
0,Winter,12,353,0.6331797610165859,0.6508259311248228,68.40277777777779,100.0,55.09045507758856,-188.39121943712234,0.02001679535526847,3000.0
1,Spring,5,128,0.922120773678892,1.1432650764669139,63.541666666666664,65.625,35.53228682465851,-278.8055404871702,0.7952864561035242,3000.0
2,Summer,7,207,0.064237135030354,0.07649803661614234,0.0,100.0,11.541222155094147,-19.242881801212206,0.017502173469872425,3000.0
3,Fall,10,294,0.49257550241580333,0.5262876394290117,43.40277777777778,97.56944444444444,38.96698106080294,-145.86138159036636,0.12180552831510218,3000.0
4,Winter,12,352,1.235176235036442,1.6706376136695695,74.30555555555556,60.06944444444444,70.58065365254879,-363.1961390711367,0.009983554949743822,3000.0
5,Spring,4,115,0.541145088465143,0.5636980563414504,76.38888888888889,99.65277777777777,12.565288864076138,-156.53692319616675,0.014221745500996552,1229.8812568187714
6,Summer,8,214,0.11247512171730865,0.17081965074319985,0.3472222222222222,99.65277777777777,5.5430260468274355,-32.96616114873905,0.021412505427511726,3000.0
7,Fall,9,252,0.22726543411956954,0.28929384745458697,9.375,99.65277777777777,8.559796554967761,-66.0090819329489,0.012752070322061665,2025.1159071922302
8,Winter,1,20,1.5079836376386997,2.701532604773856,47.91666666666667,75.69444444444444,57.90032265894115,-438.915740871802,0.021134736048842973,3000.0
9,Spring,3,60,0.7112075846951865,0.8038005071914238,71.875,72.91666666666667,51.705136366188526,-213.22225653752685,0.2877484659700028,3000.0
10,Summer,6,170,0.1996476899992324,0.20999184480817917,0.6944444444444444,100.0,9.222786599770188,-58.21153373643756,0.024167169495534397,1232.2973012924194
11,Fall,10,289,0.40949882696780393,0.4180518548881725,10.416666666666668,100.0,13.92866426333785,-119.01077362895012,0.029172528911550703,1380.0852298736572
12,Winter,2,55,3.8618814118807157,4.647069197056575,84.375,27.430555555555557,71.28896281123161,-1119.3825602903962,0.0016820484752854404,3000.0
13,Spring,4,114,0.595824106747379,0.6238279802254237,76.04166666666666,99.65277777777777,19.756314733996987,-173.90308482013643,0.08661051982371235,3000.0
14,Summer,8,240,0.2872682723335803,0.31892030593162973,5.902777777777778,100.0,5.40509557723999,-83.10094155650586,0.010814776378018516,906.6587090492249
