episode,season,month,doy,mae,rmse,violations_pct,within_1c_pct,energy_kwh,reward,mean_slew,peak_power_w
0,Winter,12,353,0.5727460222505875,0.6048418160463348,60.06944444444444,99.65277777777777,51.84126675873995,-170.87583166360855,0.01648765168954271,3000.0
1,Spring,3,70,0.4140912730858295,0.44159008616118417,22.569444444444446,100.0,21.58265621215105,-121.73079834878445,0.08558693621632114,1885.0241303443909
2,Summer,7,198,0.27397228060080686,0.28432540901407183,1.0416666666666665,100.0,10.832717329263687,-79.59143185988069,0.015988998166983136,2618.474006652832
3,Fall,11,322,0.6967172295934626,0.7241083191573302,87.15277777777779,90.27777777777777,50.51941314339638,-206.50987535715103,0.14999769165956184,3000.0
4,Winter,1,19,0.4784702781070571,0.5151293294605385,44.44444444444444,100.0,49.3321985155344,-142.40494519472122,0.03775241555652552,2581.7633271217346
5,Spring,4,110,0.4239481504185915,0.46312116857006097,25.694444444444443,99.65277777777777,17.339520763605833,-123.49950706958771,0.048912276088776074,3000.0
6,Summer,6,168,0.2802006297151705,0.32443755865855045,6.25,100.0,8.91143530793488,-81.54918669676408,0.0317320994747225,3000.0
7,Fall,11,324,0.47518678687183946,0.5093978798984691,36.80555555555556,99.65277777777777,38.22725551575422,-139.80671172682196,0.034307389309181986,3000.0
8,Winter,1,3,0.46078739128144175,0.4925277928704373,47.91666666666667,100.0,46.670462004840374,-138.6244494393468,0.10069261195352268,3000.0
9,Spring,4,102,0.4438665627584626,0.49775568316638497,26.73611111111111,98.95833333333333,52.43989435583353,-132.3111123200506,0.04886989414899607,3000.0
10,Summer,8,225,0.10193651888633602,0.13075005445683643,0.3472222222222222,100.0,4.146606422960758,-29.735439326963387,0.013875376913397986,1460.8907997608185
11,Fall,11,306,0.3289739976745538,0.36957147014337677,12.847222222222221,99.65277777777777,12.794130764901638,-95.66150226723403,0.02736458247235428,1433.9139461517334
12,Winter,1,13,0.4452947868050414,0.470304701621723,35.06944444444444,100.0,59.628761658445,-134.35290049016476,0.08436276176976826,3000.0
13,Spring,3,85,0.49975077588880723,0.5222457337264673,62.84722222222222,98.95833333333333,18.504983376711607,-145.80811064690351,0.05743439210001185,2682.4756264686584
14,Summer,7,210,0.25179407505957424,0.2850337482601385,1.0416666666666665,100.0,10.476774649694562,-73.27361854165792,0.021338496733625593,3000.0
15,Fall,9,267,0.42686087231964254,0.44657590045386064,27.083333333333332,99.65277777777777,25.84596860036254,-124.97691545262933,0.05674994230685749,3000.0
16,Winter,12,364,0.5454250812705845,0.7350283951093515,37.84722222222222,87.5,69.14253927767277,-164.59804853238165,0.018838661680653537,3000.0
17,Spring,5,128,0.495642326603089,0.5214429623697713,54.861111111111114,99.65277777777777,18.91866109147668,-144.50792149454355,0.06471939878181299,3000.0
18,Summer,7,191,0.1936425311630382,0.23188069132295575,1.0416666666666665,99.65277777777777,5.943693531677127,-56.44930631760508,0.028078183194278426,3000.0
19,Fall,10,277,0.6777254284676233,0.6940527748076558,87.15277777777779,97.56944444444444,24.931555919349194,-197.54733002185822,0.08147218750744331,2370.6833124160767
20,Winter,12,349,0.9308820866049687,1.216879396548795,73.61111111111111,78.47222222222223,66.19197116792202,-275.2712530232966,0.014483325780476427,3000.0
21,Spring,5,139,0.25463070377653,0.3141810332813125,8.333333333333332,100.0,11.742005851119757,-74.15000453824177,0.02280498999544137,1885.7495784759521
22,Summer,6,153,0.267169053965008,0.27703509974502005,0.3472222222222222,100.0,9.49405557103455,-77.7208488653414,0.024911977610313933,3000.0
23,Fall,10,280,0.41737687824147696,0.4360269184706096,27.430555555555557,99.65277777777777,31.05161173455417,-122.65555752813816,0.057456012438813986,3000.0
24,Winter,2,38,0.47665868085738744,0.5406589741517727,51.388888888888886,98.95833333333333,40.512977454811335,-141.4895353000611,0.10364860574023649,2815.138041973114
25,Spring,3,61,0.5251321839582085,0.5409902887310081,50.69444444444444,99.30555555555556,26.079353546723723,-153.38151767849922,0.03203857926333823,3000.0
26,Summer,6,160,0.13642120943079547,0.16074020365454847,0.0,100.0,6.184515485540032,-39.89105947432108,0.02427295982214632,796.583354473114
